,اليوم,الفريق الأول,الفريق الثاني,أهداف الأول,أهداف الثاني
0,2025-10-02,البنك الأهلي,المصري,0,1
1,2025-10-02,سموحة,الإسماعيلي,2,0
2,2025-10-02,الاتحاد السكندري,المقاولون العرب,2,1
3,2025-10-02,باريس,لوريان,2,0
4,2025-10-02,أوساسونا,خيتافي,2,1
5,2025-10-02,نيجيريا | تحت 20,السعودية | تحت 20,3,2
6,2025-10-02,نادي وي,بلدية المحلة,1,0
7,2025-10-02,بورنموث,فولام,3,1
8,2025-10-02,جنوب إفريقيا | تحت 20,كاليدونيا الجديدة	| تحت 20,0,5
9,2025-10-03,مصر | تحت 20,تشيلي | تحت 20,2,1
10,2025-10-03,كهرباء الإسماعيلية,الأهلي,لم تُلعب بعد,لم تُلعب بعد
11,2025-10-03,الزمالك,غزل المحلة,لم تُلعب بعد,لم تُلعب بعد
12,2025-10-03,تشيلسي,ليفربول,لم تُلعب بعد,لم تُلعب بعد
13,2025-10-03,ريال مدريد,فياريال,لم تُلعب بعد,لم تُلعب بعد
14,2025-10-03,مانشستر يونايتد,سندرلاند,لم تُلعب بعد,لم تُلعب بعد
15,2025-10-03,نيوزيلندا | تحت 20,اليابان | تحت 20,0,3
16,2025-10-03,ليدز يونايتد,توتنام هوتسبر,لم تُلعب بعد,لم تُلعب بعد
17,2025-10-03,أوكسير,لانس,لم تُلعب بعد,لم تُلعب بعد
18,2025-10-03,باير ليفركوزن,يونيون برلين,لم تُلعب بعد,لم تُلعب بعد
19,2025-10-03,حرس الحدود,سيراميكا كليوباترا,لم تُلعب بعد,لم تُلعب بعد
20,2025-10-03,طلائع الجيش,الجونة,لم تُلعب بعد,لم تُلعب بعد
21,2025-10-03,آينتراخت فرانكفورت,بايرن ميونيخ,لم تُلعب بعد,لم تُلعب بعد
22,2025-10-04,بيراميدز,الجيش الرواندي,لم تُلعب بعد,لم تُلعب بعد
23,2025-10-04,إشبيلية,برشلونة,لم تُلعب بعد,لم تُلعب بعد
24,2025-10-04,برينتفورد,مانشستر سيتي,لم تُلعب بعد,لم تُلعب بعد
25,2025-10-04,يوفنتوس,ميلان,لم تُلعب بعد,لم تُلعب بعد
26,2025-10-04,ليل,باريس سان جيرمان,لم تُلعب بعد,لم تُلعب بعد
27,2025-10-04,إيفرتون,كريستال بالاس,لم تُلعب بعد,لم تُلعب بعد
28,2025-10-04,نيوكاسل يونايتد,نوتنجهام فورست,لم تُلعب بعد,لم تُلعب بعد
29,2025-10-04,ولفرهامبتون,برايتون,لم تُلعب بعد,لم تُلعب بعد
30,2025-10-04,موناكو,نيس,لم تُلعب بعد,لم تُلعب بعد
31,2025-10-04,بورتو,بنفيكا,لم تُلعب بعد,لم تُلعب بعد
32,2025-10-04,إنبي,زد,لم تُلعب بعد,لم تُلعب بعد
33,2025-10-04,فاركو,وادي دجلة,لم تُلعب بعد,لم تُلعب بعد
